State,2012,2013,2014,2015,2016,2017
Alabama,34.9,34.3,35.1,35.7,37.1,36.9
Alaska,36.7,36.0,35.1,37.4,37.5,37.7
Arizona,36.8,36.3,36.5,36.2,37.2,38.9
Arkansas,31.2,30.8,32.1,33.1,32.6,35.2
California,40.1,40.1,41.2,42.0,43.0,44.3
Colorado,47.2,47.9,48.9,49.8,49.8,51.3
Connecticut,48.7,49.2,49.9,50.4,50.9,51.4
Delaware,40.1,42.2,42.7,42.0,41.6,40.9
District of Columbia,65.2,68.1,69.0,69.4,67.8,71.0
Florida,39.1,39.7,39.9,41.2,41.2,42.8
Georgia,38.3,38.9,39.0,40.1,41.0,41.7
Hawaii,42.3,45.6,44.2,45.4,45.1,46.6
Idaho,36.7,37.1,36.3,37.3,40.2,38.3
Illinois,45.6,46.0,47.1,47.4,48.6,48.6
Indiana,37.7,37.2,39.3,39.0,40.3,41.8
Iowa,47.6,46.7,48.5,48.0,48.7,49.4
Kansas,43.5,44.3,45.1,45.6,45.3,48.1
Kentucky,34.3,36.5,35.9,36.6,37.9,37.8
Louisiana,31.8,31.9,33.4,33.7,33.3,33.9
Maine,38.8,41.6,43.3,44.6,44.7,46.3
Maryland,47.7,47.3,49.4,49.5,50.0,50.8
Massachusetts,53.8,54.9,55.6,55.7,56.9,57.1
Michigan,39.9,41.0,41.9,42.0,42.2,43.4
Minnesota,52.1,52.0,53.3,54.1,54.1,55.2
Mississippi,32.6,32.4,35.1,34.5,34.5,34.9
Missouri,39.9,41.2,41.8,42.3,43.0,43.1
Montana,41.7,41.9,40.0,44.2,43.8,44.7
Nebraska,46.5,46.5,47.9,47.8,50.0,50.1
Nevada,30.1,30.4,31.5,31.7,31.1,33.9
New Hampshire,48.3,47.4,49.0,49.8,51.1,50.6
New Jersey,49.0,49.9,50.7,51.2,52.5,54.5
New Mexico,33.9,34.1,32.0,32.8,34.9,33.8
New York,48.7,50.3,51.1,51.5,52.2,53.3
North Carolina,39.7,41.2,42.0,42.4,44.2,45.2
North Dakota,50.9,50.8,49.0,50.7,51.8,53.8
Ohio,40.0,40.9,41.9,42.2,42.6,43.3
Oklahoma,34.1,33.9,34.1,34.2,35.5,35.6
Oregon,41.2,42.0,42.1,44.4,44.9,46.0
Pennsylvania,44.2,45.0,45.4,46.7,47.8,48.1
Rhode Island,44.1,44.0,42.9,44.5,47.3,46.0
South Carolina,37.5,38.1,38.0,39.0,39.7,40.1
South Dakota,42.9,45.9,45.9,45.4,47.4,44.5
Tennessee,35.5,36.6,36.5,37.5,38.1,39.9
Texas,34.9,35.8,36.6,37.3,37.8,39.1
Utah,42.1,42.5,42.6,43.1,45.9,46.4
Vermont,47.3,48.1,47.0,46.7,49.2,49.3
Virginia,47.7,48.1,49.5,49.3,50.4,51.1
Washington,43.1,44.3,45.7,46.3,47.4,48.4
West Virginia,30.4,32.1,31.7,33.0,34.3,32.3
Wisconsin,44.2,44.9,45.7,46.1,47.7,48.7
Wyoming,36.5,41.6,39.2,40.7,42.6,40.6
,,,,,,
,,,,,,
,,,,,,
